Non-Grammar,Full
"DT NN VBD JJ NNS NNP NNP NNP , JJ NN NN , `` VBZ JJ NNS NNP NNP `` NN NN VBN . ","DT NN RB VBD IN JJ NNS IN DT NNP NNP NNP , WDT VBD JJ NN IN DT NN , `` VBZ DT NN CC NNS IN DT NNP IN NNP `` IN DT NN IN WDT DT NN VBD VBN . "
DT NNP NN NN VBN NNP NNP NNP NNP NNP NNP VB NNS JJ `` NNS `` JJ JJ NNP NNP NNP NNP . ,DT NNP NN NN VBD VBN VBN IN NNP NNP NNP NNP NNP NNP TO VB NNS IN JJ `` NNS `` IN DT JJ NN WDT VBD VBN IN NNP NNP NNP NNP . 
"`` RB JJ NN NNS VBD `` , NN VBD , `` VBG JJ NN NN , NN NNS NN NN `` . ","`` RB DT JJ NN IN JJ NNS VBD VBN `` , DT NN VBD , `` VBG DT JJ NN IN DT NN , DT NN IN NNS CC DT NN IN DT NN `` . "
DT NN VBD RB JJ NNP POS NN NN NNS `` JJ NN RB JJ `` . ,DT NN VBD PRP VBD VB IN JJ IN NNP POS NN CC NN NNS `` VBP VBN CC JJ CC RB JJ `` . 
PRP VBD NNP NNS VBP `` NNS VBD JJ NN VBG VBG `` . ,PRP VBD IN NNP NNS VBP `` TO VB DT NNS VBD CC VBD TO DT NN IN NN CC VBG PRP `` . 
"DT JJ NN VBD NN NNS , IN NNP NNP NNP NN NNS VBD `` RB VBN VBP RB VBN NNS NN JJS NN NNS `` . ","DT JJ NN VBD IN DT NN IN JJ NNS , IN PRP DT NNP CC NNP NNP NN NNS WDT PRP VBD `` VBP RB VBN CC VB RB VBN NNS WDT VBP TO DT JJS NN IN DT NNS `` . "
NN VBD ,NN VBD 
"RB , NN VBD VBZ `` CD NNS VBN VBP JJR NN VB NN NN `` . ","RB , DT NN VBD PRP VBZ `` DT CD NNS MD VB VBN TO VB JJR NN CC VB DT NN IN NN `` . "
"DT NNP NNP NNP , NN VBD , `` NN JJ JJ NNS VBP NN NNS NNS `` . ","DT NNP NNP NNP , DT NN VBD , `` VBZ VBG IN JJ JJ NNS IN DT NN IN NN NNS NNS `` . "
PRP VBD NN `` VB NNS VBP `` NN . ,PRP VBD IN DT NN `` VB NNS TO VB `` DT NN . 
